rule,support_ratio,confidence,conciseness
airports(t0) ^ airports(t1) ^ t0.gps_code == t1.gps_code ^ t0.name == t1.name  ->  t0.keywords == t1.keywords,10452,0.9498364231188658,0.5
airports(t0) ^ airports(t1) ^ t0.local_code == t1.local_code  ->  t0.home_link == t1.home_link,648850952,0.8692285625710058,1.0
airports(t0) ^ airports(t1) ^ t0.latitude_deg == t1.latitude_deg ^ t0.longitude_deg == t1.longitude_deg  ->  t0.iso_country == t1.iso_country,2846,0.9992977528089888,0.5
airports(t0) ^ airports(t1) ^ t0.iso_country == BR ^ t0.local_code == t1.local_code  ->  t0.keywords == t1.keywords,9963508,1.0,0.5
airports(t0) ^ airports(t1) ^ t0.elevation_ft == t1.elevation_ft ^ t0.iso_country == BR  ->  t0.continent == t1.continent,60906,1.0,0.5
airports(t0) ^ airports(t1) ^ t0.scheduled_service == t1.scheduled_service  ->  t0.home_link == t1.home_link,2627678976,0.9152513295348406,1.0
airports(t0) ^ airports(t1) ^ t0.gps_code == t1.gps_code ^ t0.iso_country == US  ->  t0.continent == t1.continent,6153076,1.0,0.5
airports(t0) ^ airports(t1) ^ t0.continent == t1.continent ^ t0.iso_country == BR  ->  t0.iso_country == t1.iso_country,24162142,0.9222528823763861,0.5
airports(t0) ^ airports(t1) ^ t0.iso_country == US ^ t0.local_code == t1.local_code  ->  t0.iso_country == t1.iso_country,4624894,1.0,0.5
airports(t0) ^ airports(t1) ^ t0.iso_country == t1.iso_country ^ t0.longitude_deg == t1.longitude_deg  ->  t0.wikipedia_link == t1.wikipedia_link,5612,0.9291390728476822,0.5
airports(t0) ^ airports(t1) ^ t0.iso_region == t1.iso_region ^ t0.local_code == t1.local_code ^ t0.longitude_deg == t1.longitude_deg  ->  t0.elevation_ft == t1.elevation_ft,2914,0.9204042956411876,0.3333333333333333
airports(t0) ^ airports(t1) ^ t0.iata_code == t1.iata_code ^ t0.iso_country == US  ->  t0.iso_country == t1.iso_country,451626258,1.0,0.5
airports(t0) ^ airports(t1) ^ t0.local_code == t1.local_code ^ t0.longitude_deg == t1.longitude_deg  ->  t0.iso_region == t1.iso_region,3166,0.8122113904566445,0.5
airports(t0) ^ airports(t1) ^ t0.elevation_ft == t1.elevation_ft ^ t0.iso_country == US ^ t0.municipality == t1.municipality ^ t0.type == t1.type  ->  t0.iso_region == t1.iso_region,2080,0.8346709470304976,0.25
airports(t0) ^ airports(t1) ^ t0.iso_country == BR ^ t0.scheduled_service == t1.scheduled_service  ->  t0.wikipedia_link == t1.wikipedia_link,24931074,1.0,0.5
airports(t0) ^ airports(t1) ^ t0.gps_code == t1.gps_code  ->  t0.scheduled_service == t1.scheduled_service,247687498,0.9833771962080967,1.0
airports(t0) ^ airports(t1) ^ t0.iso_country == US ^ t0.scheduled_service == t1.scheduled_service  ->  t0.iso_country == t1.iso_country,520005374,0.9999123201331118,0.5
airports(t0) ^ airports(t1) ^ t0.elevation_ft == t1.elevation_ft ^ t0.name == t1.name  ->  t0.longitude_deg == t1.longitude_deg,2862,0.9268134715025906,0.5
airports(t0) ^ airports(t1) ^ t0.iso_region == t1.iso_region ^ t0.municipality == t1.municipality ^ t0.name == t1.name  ->  t0.longitude_deg == t1.longitude_deg,2770,0.9591412742382271,0.3333333333333333
airports(t0) ^ airports(t1) ^ t0.keywords == t1.keywords ^ t0.type == t1.type  ->  t0.wikipedia_link == t1.wikipedia_link,864768876,0.8303932238949111,0.5
airports(t0) ^ airports(t1) ^ t0.name == t1.name  ->  t0.iso_country == t1.iso_country,19226,0.8975723622782447,1.0
airports(t0) ^ airports(t1) ^ t0.iso_country == US ^ t0.keywords == t1.keywords  ->  t0.continent == t1.continent,399980162,1.0,0.5
airports(t0) ^ airports(t1) ^ t0.home_link == t1.home_link ^ t0.iso_country == US  ->  t0.scheduled_service == t1.scheduled_service,480778612,0.9671008083061466,0.5
airports(t0) ^ airports(t1) ^ t0.latitude_deg == t1.latitude_deg ^ t0.name == t1.name  ->  t0.gps_code == t1.gps_code,2800,0.9978617248752673,0.5
airports(t0) ^ airports(t1) ^ t0.longitude_deg == t1.longitude_deg ^ t0.name == t1.name  ->  t0.gps_code == t1.gps_code,2794,0.9935988620199147,0.5
airports(t0) ^ airports(t1) ^ t0.home_link == t1.home_link ^ t0.iso_country == BR  ->  t0.continent == t1.continent,25892832,1.0,0.5
airports(t0) ^ airports(t1) ^ t0.iata_code == t1.iata_code ^ t0.iso_country == t1.iso_country  ->  t0.wikipedia_link == t1.wikipedia_link,456527104,0.9293449710842472,0.5
airports(t0) ^ airports(t1) ^ t0.longitude_deg == t1.longitude_deg ^ t0.name == t1.name  ->  t0.local_code == t1.local_code,2812,1.0,0.5
airports(t0) ^ airports(t1) ^ t0.latitude_deg == t1.latitude_deg  ->  t0.wikipedia_link == t1.wikipedia_link,7060,0.8902900378310215,1.0
airports(t0) ^ airports(t1) ^ t0.local_code == t1.local_code ^ t0.municipality == t1.municipality ^ t0.name == t1.name  ->  t0.latitude_deg == t1.latitude_deg,2838,0.937871777924653,0.3333333333333333
airports(t0) ^ airports(t1) ^ t0.gps_code == t1.gps_code ^ t0.longitude_deg == t1.longitude_deg  ->  t0.name == t1.name,2786,0.9299065420560748,0.5
airports(t0) ^ airports(t1) ^ t0.municipality == t1.municipality ^ t0.name == t1.name  ->  t0.local_code == t1.local_code,3026,0.8304061470911087,0.5
airports(t0) ^ airports(t1) ^ t0.iso_country == US ^ t0.keywords == t1.keywords  ->  t0.iso_country == t1.iso_country,399980162,1.0,0.5
